id;Country;League;Div;Season;Date;HomeTeam;AwayTeam;Referee;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
0;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;Arsenal;Sunderland;C Foy;0.0;0.0;D;0.0;0.0;D;14.0;3.0;4.0;2.0;12.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0
1;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;Fulham;Norwich;M Oliver;5.0;0.0;H;2.0;0.0;H;11.0;4.0;9.0;2.0;12.0;11.0;6.0;3.0;0.0;0.0;0.0;0.0
2;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;Newcastle;Tottenham;M Atkinson;2.0;1.0;H;0.0;0.0;D;6.0;12.0;4.0;6.0;12.0;8.0;3.0;5.0;2.0;2.0;0.0;0.0
3;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;QPR;Swansea;L Probert;0.0;5.0;A;0.0;1.0;A;20.0;12.0;11.0;8.0;11.0;14.0;5.0;3.0;2.0;2.0;0.0;0.0
4;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;Reading;Stoke;K Friend;1.0;1.0;D;0.0;1.0;A;9.0;6.0;3.0;3.0;9.0;14.0;4.0;3.0;2.0;4.0;0.0;1.0
5;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;West Brom;Liverpool;P Dowd;3.0;0.0;H;1.0;0.0;H;15.0;14.0;10.0;7.0;10.0;11.0;7.0;3.0;1.0;4.0;0.0;1.0
6;England;Premier League;E0;2012-2013;2012-08-18 00:00:00;West Ham;Aston Villa;M Dean;1.0;0.0;H;1.0;0.0;H;8.0;10.0;4.0;6.0;17.0;8.0;6.0;4.0;0.0;1.0;0.0;0.0
7;England;Premier League;E0;2012-2013;2012-08-19 00:00:00;Man City;Southampton;H Webb;3.0;2.0;H;1.0;0.0;H;20.0;9.0;15.0;6.0;4.0;6.0;7.0;3.0;1.0;2.0;0.0;0.0
8;England;Premier League;E0;2012-2013;2012-08-19 00:00:00;Wigan;Chelsea;M Jones;0.0;2.0;A;0.0;2.0;A;12.0;5.0;4.0;3.0;16.0;11.0;7.0;1.0;2.0;2.0;0.0;0.0
9;England;Premier League;E0;2012-2013;2012-08-20 00:00:00;Everton;Man United;A Marriner;1.0;0.0;H;0.0;0.0;D;16.0;12.0;7.0;7.0;12.0;11.0;6.0;8.0;1.0;2.0;0.0;0.0
